payroll_id,netid
100237,sms10019
100246,xiz10003
100517,dad10006
100549,mas10030
100597,kaw10012
100620,alb10009
100631,beg10005
100666,dlm09010
100757,ncc10003
100780,elh10005
101002,jib10001
101049,mun10002
101150,lim10005
101153,gih10001
101305,shj10001
102133,ajp10013
102831,frg10003
105582,sis10003
106294,shm11005
106565,lge10001
108224,jim10005
108227,viw10001
109150,nem10005
109208,iav10001
109392,eso11001
109507,anb11001
109535,wio10001
109875,swm09001
110057,lml06004
110277,caw11002
110439,inu10001
111137,pot10001
113913,kls07013
114810,map10006
114909,ros11004
115444,mah11017
115446,msk11007
115524,aze11001
115534,jep11004
115562,sar11012
115630,smb10012
115632,rmt11002
115634,lih11004
115779,rlt11003
115786,nil11002
115987,amb11023
116202,deg11002
116213,kgc11002
116214,jma11008
116216,chc11015
116219,saw11006
116230,rit11001
116261,mok11002
116262,huw11001
116265,knb11005
116388,sbp11003
116701,mis09015
116711,roa11002
116716,dwc11002
116787,rag11006
116882,kab08029
116912,hmd13001
116941,rhs11002
117021,nrg11005
117191,mfp11002
117392,xil11015
117393,joc11007
117700,krg11007
117734,rec11009
117737,anm11019
117746,shg11001
117927,jug11002
118099,leb98003
118624,jyw11001
119146,ams12031
119269,daw11012
119516,chr11003
119722,sam11036
119911,alp11007
122685,mic11009
123414,jmm11030
124462,jcc11008
124485,wax11001
124598,alb11022
124643,mar11032
124651,swf09001
126626,dmb09012
126806,crd02001
128648,jpd12005
129183,mac12026
129248,ama12011
129463,she12002
129643,mir12003
129822,jas12031
129827,ovm12001
130063,jnh12002
130064,omk12001
130445,fis12001
131082,ema10010
131117,amd12012
131120,joc12007
131121,daw12008
131122,lah12006
131125,eds12005
131133,mth12001
131134,mak12019
131136,vfs12001
131137,adg12007
131138,rig12004
131139,hal11007
131142,kan12003
131147,rig12003
131148,amd12020
131150,krw12004
131151,ksc12006
131153,lbc12001
131172,mcb12011
131373,stp12006
131374,dan12005
131438,yay12004
131461,cme02004
131529,ndw12002
131619,ljg12003
131893,jar12025
131902,all12010
131991,nar12003
132001,xiw12007
132064,mth18003
132108,dah11006
132132,ajw12004
132206,dms16106
132245,meg12010
132247,geb12004
132248,jiz12014
132250,zxz12001
132502,dam12021
132503,mjw12011
132683,phg12001
133429,bab11008
133762,stk12004
134036,sao12006
134088,sab12014
134502,chr11001
134935,kap11006
135522,rdd15101
136567,krm09001
136666,tac08005
137577,eld12003
138197,nos12001
138748,sen12005
138820,dap13009
139178,vim13001
139473,jrw11007
139692,jlb06018
139854,hst13001
143313,jdg12005
143890,brs12013
145866,jes13015
145980,dal13007
146414,psh13001
146428,prg13003
146438,fus19001
146603,liz13004
146605,amh13011
146947,ima00001
146949,zea11001
146953,maa13014
146958,rub13001
146959,mib13002
146960,tab13007
146964,hyb13001
146973,lus13001
147081,keb13015
147082,mub13001
147083,phb13001
147084,mec13001
147091,kuc13001
147105,jmc13021
147111,dtc13003
147113,dad13008
147129,joe13003
147350,leg12007
147376,mwh13001
147378,soh13001
147400,thh13002
147401,yoi13001
147409,acj13004
147417,jak13011
147475,jok13003
147490,ewl13002
147492,frl13001
147536,mjb13023
147556,ads13008
147655,rfl13002
147659,cjc13023
147664,lam13012
147665,bem13006
147676,mym13001
147710,grp13003
147715,dmp13006
147721,kmr13001
147764,ajs13030
147772,bhs13003
147864,jis13011
147875,sgs13003
147893,tos13003
147898,ris13005
147906,jag12021
147909,ias13002
147918,mis13011
147919,das13016
147970,suw13001
148030,jew13004
148036,chy13003
148055,kaz13007
148070,pez13004
148073,viz13001
148078,wez13002
148094,grr13002
148125,zhg13002
148258,jac13036
148747,yay12003
148826,dab13012
148827,tbf13001
148828,tjg13007
148841,asd13004
148862,ded13006
148868,clc13010
148872,kef13010
149215,ahh09002
149250,anp13021
149391,ers13011
149735,mig13002
151898,mbs13005
153777,guz13002
154858,jlw13012
156476,jih13012
157040,kaw13022
157099,ahw13001
157101,ypc13001
157103,mic13009
157105,aml13015
157106,nob13004
157110,ano13004
157205,jcl13014
157215,pad06001
157506,kah13030
157713,alm22078
157727,cle13002
158058,lep12001
158277,brb02007
158378,aor10001
159730,rbr14001
159777,clf14001
160661,ril12006
161205,crc10010
161242,kfr14001
161810,els09010
161992,scp05002
163922,kes13013
163925,dob13002
163949,kig14001
163950,mfd14002
164233,emr14009
164349,gea13003
164431,jjp14008
164646,rem14005
164839,ljc13007
164866,mab14024
164868,hab13007
164943,anc14020
164970,naf14006
165023,jaj14007
165028,anj14001
165029,dmk14006
165032,tml14004
165033,anm14013
165034,yal14015
165035,jan14002
165039,evp14001
165042,sel14007
165045,sas14036
165175,cht14005
165183,jjh14007
165195,akl14003
165224,yiz14026
165313,lbp14001
165317,yuz14026
165320,gug14001
165321,zhl14014
165393,cab14014
165410,soi14001
165411,ron14002
165483,dix14002
165485,cea14002
165595,smf13001
165896,jvm14002
165913,zob13002
165920,liq14002
165922,jec14018
166043,els14006
166809,jas14034
166978,nut13001
166983,eiy13001
167077,jes14020
167367,hfp14002
167669,met00004
168058,mjd14010
169110,mnb18001
170503,fcj02001
170691,chm14016
170702,kal14008
170708,taa14006
170727,rmp14002
170739,mbs14003
170966,mid14018
170968,rob14005
171818,mic15011
171827,vlt14001
172609,pgb15001
172725,mas10022
172727,jms14048
173227,xiz14026
174959,eam13020
175780,hee15001
178502,olm15002
178509,lep15103
178621,bif14003
178892,dic15102
179056,yak15101
179179,krd15110
179199,mpb15003
179206,emb15102
179248,sec15101
179322,cme15002
179324,kam15111
179335,stu15101
179336,ils15101
179337,jer15012
179339,der15103
179343,shn15004
180077,ran15103
180341,vac14002
180351,anr15107
180353,err15101
180374,rjl02001
180540,fay15101
180620,pct15101
180632,led15101
181594,loc15001
181601,jpi07002
181605,mar15120
182446,knr09005
182482,jda15104
183657,nwg15102
185131,rof15102
185150,bal15101
185326,get15101
185330,tdn15101
185456,jce14002
185656,jec16120
185684,jmm15152
185686,vis16103
185723,dam15120
187930,sas15145
189033,adc09002
